vote_id,milestone_id,backer_id,vote_weight,approval,voted_at
b00ba6a3-d614-4611-bf2c-2629590476dc,30550ce6-288c-4fcf-9bb4-da99fdd63dd8,c14609d7-3c19-4b67-a18d-eee2fddf5adc,7109.11,1,2025-04-29 20:57:52
40f38e4a-22cd-4b8a-b834-4972c12ec9a3,30550ce6-288c-4fcf-9bb4-da99fdd63dd8,c157b3c0-ce0e-4d08-aac8-bbe1fc69cc56,14147.46,0,2025-04-29 20:57:52
c3920a1a-be84-469b-89d0-0bb53437ba2a,30550ce6-288c-4fcf-9bb4-da99fdd63dd8,e58daa0c-8b2c-47e1-88a4-f451bf46919d,11553.56,1,2025-04-28 20:57:52
b400b252-15f7-497f-b2ea-f10bace713cf,30550ce6-288c-4fcf-9bb4-da99fdd63dd8,059c6788-9cb8-476a-888e-f5dcca662832,13127.51,1,2025-05-01 20:57:52
3edf846f-6c40-42c8-bd12-d7356b943503,30550ce6-288c-4fcf-9bb4-da99fdd63dd8,204e78b9-ea44-4522-99a7-f0255068b85e,16231.21,1,2025-05-02 20:57:52
ab6394e0-f050-46b1-a33c-15d8511c4509,30550ce6-288c-4fcf-9bb4-da99fdd63dd8,f0e352b3-7f8d-478f-9106-ebbb1b27775e,9072.43,1,2025-04-29 20:57:52
32b9c55b-d7d4-4f59-bc22-129053a92178,30550ce6-288c-4fcf-9bb4-da99fdd63dd8,7bc9e122-7111-4994-ad35-7e693a68c936,16933.07,1,2025-05-01 20:57:52
2f53ac58-897e-4799-9f0c-e5974d7d8747,30550ce6-288c-4fcf-9bb4-da99fdd63dd8,ac6e4be8-aed0-4d6d-8340-48075b95bc38,2072.17,0,2025-04-28 20:57:52
2bfe1157-5df1-4ccd-9b6d-545c0b5e9d80,30550ce6-288c-4fcf-9bb4-da99fdd63dd8,765f200c-cc07-46a7-8b23-28ac9ccc6cdc,4423.01,1,2025-05-02 20:57:52
5cd7799c-cfd1-4c5a-9059-15fb0b073ac3,30550ce6-288c-4fcf-9bb4-da99fdd63dd8,1499cfe7-2131-4bce-91dc-fbc65fd439db,582.04,1,2025-04-30 20:57:52
fe7b4fdb-f335-4cc8-9fee-67c218511924,30550ce6-288c-4fcf-9bb4-da99fdd63dd8,d24b6931-04cb-4b36-be6a-aea7cffd4d1d,5735.93,1,2025-04-28 20:57:52
3c28b069-9ecc-4dd4-9744-a5459d7c5f9f,f2819123-f35e-47bd-b60c-9de4997d8e1f,c14609d7-3c19-4b67-a18d-eee2fddf5adc,7109.11,1,2025-05-28 20:57:52
33d4a17d-5cf6-4a26-8af5-eefade500da8,f2819123-f35e-47bd-b60c-9de4997d8e1f,c157b3c0-ce0e-4d08-aac8-bbe1fc69cc56,14147.46,1,2025-05-30 20:57:52
31b40bba-926a-4d36-9147-5fb70b3215e8,f2819123-f35e-47bd-b60c-9de4997d8e1f,e58daa0c-8b2c-47e1-88a4-f451bf46919d,11553.56,1,2025-05-30 20:57:52
7c229a6e-422a-4ab1-a581-7871a436ffe8,f2819123-f35e-47bd-b60c-9de4997d8e1f,059c6788-9cb8-476a-888e-f5dcca662832,13127.51,1,2025-06-01 20:57:52
bf03755d-09f9-42a8-b80d-16b2c2b72779,f2819123-f35e-47bd-b60c-9de4997d8e1f,204e78b9-ea44-4522-99a7-f0255068b85e,16231.21,1,2025-05-29 20:57:52
8a2f010d-15e6-475d-ac42-1f50fcd8e513,f2819123-f35e-47bd-b60c-9de4997d8e1f,f0e352b3-7f8d-478f-9106-ebbb1b27775e,9072.43,1,2025-06-01 20:57:52
e1a17e11-97cc-4290-bd76-d149f9199b95,f2819123-f35e-47bd-b60c-9de4997d8e1f,7bc9e122-7111-4994-ad35-7e693a68c936,16933.07,1,2025-05-28 20:57:52
a1834f47-972f-4ecd-9790-2bdf960ff2b0,f2819123-f35e-47bd-b60c-9de4997d8e1f,ac6e4be8-aed0-4d6d-8340-48075b95bc38,2072.17,1,2025-05-30 20:57:52
c0626d51-3651-4244-813d-a9f9abce04f1,f2819123-f35e-47bd-b60c-9de4997d8e1f,765f200c-cc07-46a7-8b23-28ac9ccc6cdc,4423.01,1,2025-06-01 20:57:52
ca536a18-573a-4eb6-905d-648d387ef8d9,f2819123-f35e-47bd-b60c-9de4997d8e1f,1499cfe7-2131-4bce-91dc-fbc65fd439db,582.04,0,2025-05-29 20:57:52
b13e495f-da41-430b-8fdf-6662ed5cf985,f2819123-f35e-47bd-b60c-9de4997d8e1f,d24b6931-04cb-4b36-be6a-aea7cffd4d1d,5735.93,1,2025-05-30 20:57:52
5448261a-620c-421f-bedd-195312aadf88,e2d6ae55-c49c-4544-9472-5f47e9022634,c14609d7-3c19-4b67-a18d-eee2fddf5adc,7109.11,0,2025-06-29 20:57:52
1a69d358-77a5-474d-83a4-d1c3b5055337,e2d6ae55-c49c-4544-9472-5f47e9022634,c157b3c0-ce0e-4d08-aac8-bbe1fc69cc56,14147.46,1,2025-06-27 20:57:52
afb1e14e-f0b1-4fa3-bd0d-ea5f89a3e8c0,e2d6ae55-c49c-4544-9472-5f47e9022634,e58daa0c-8b2c-47e1-88a4-f451bf46919d,11553.56,1,2025-06-29 20:57:52
57df6a1d-e925-4363-ac68-fd2f4f5cf990,e2d6ae55-c49c-4544-9472-5f47e9022634,059c6788-9cb8-476a-888e-f5dcca662832,13127.51,1,2025-06-29 20:57:52
