milestone_id,project_id,title,description,funding_amount,due_date,submitted_at,status,voting_session_id
a55ef1d1-fc52-45a8-8d7e-e3506537a7c2,caecf732-0637-4753-a639-d380bcccf467,Milestone 1,No yes direction parent for.,17025.45,2025-04-17 18:02:01,,0,170afcc4-69f5-48f7-9b41-d61a4635b83a
ce62e622-63d2-4333-81e8-af9900ae9406,caecf732-0637-4753-a639-d380bcccf467,Milestone 2,Traditional practice together minute price night admit standard.,17025.45,2025-05-17 18:02:01,,0,6cce37b9-a139-45a2-b5dc-1ea3640efc72
e24d17a7-062e-4fba-bcf9-07fe02d7e9d9,caecf732-0637-4753-a639-d380bcccf467,Milestone 3,Stock today whether thought brother.,17025.45,2025-06-16 18:02:01,,0,f27e3e77-402a-4373-ad21-cfc3b2385c39
222ae56c-efe7-4497-bb30-7150e2d60557,caecf732-0637-4753-a639-d380bcccf467,Milestone 4,Total not its air.,17025.45,2025-07-16 18:02:01,,0,17b06247-9bd5-47b9-abd4-b7ed4059ba9a
05d2a611-bf59-43d1-9490-9093ac9506d0,caecf732-0637-4753-a639-d380bcccf467,Milestone 5,Image several name chair.,17025.45,2025-08-15 18:02:01,,0,e568f66f-fd78-486a-850e-15d995cc3903
ec61dd0f-9513-417b-abd0-a0735c946a6a,08a8a19c-9476-4b4b-a303-ace1d30c5822,Milestone 1,Behavior nearly of general piece.,11381.18,2025-11-09 14:40:43,,0,5f064626-e02b-4395-bf23-6d60434ac8ff
8814a3eb-ad21-40ae-85d8-9b3aa7c395fc,08a8a19c-9476-4b4b-a303-ace1d30c5822,Milestone 2,Address loss international public rate.,11381.18,2025-12-09 14:40:43,,0,91c1e1bb-6c1a-45fe-9dee-d36478b5a2e2
576de169-f458-4cba-99a4-4dcee4a6849c,08a8a19c-9476-4b4b-a303-ace1d30c5822,Milestone 3,Short southern finish front.,11381.18,2026-01-08 14:40:43,,0,7e73c075-2a81-4bb5-ad8f-da08cbad719f
fd22729c-521f-4f7b-8f97-5fe913f4fb4a,3970d83e-ef05-463e-8b3f-f7e9425be048,Milestone 1,Edge court environment must.,5930.01,2025-09-24 09:38:13,,0,76ad82ff-2b63-4ee8-8bc4-73ca09aa84ce
8381c757-b4e6-4c56-9e6e-d77e3d5a5385,3970d83e-ef05-463e-8b3f-f7e9425be048,Milestone 2,Onto significant sure evening together.,5930.01,2025-10-24 09:38:13,,0,22f70767-ed6f-4cda-b925-9144e95a92c7
bb39aa63-8c88-482d-b59a-18b9b056ba3c,3970d83e-ef05-463e-8b3f-f7e9425be048,Milestone 3,Strategy clearly sell.,5930.01,2025-11-23 09:38:13,,0,d7555bf8-596f-4144-8b86-160ccc6adbe1
26101f70-1840-4607-bf00-e0c7bf1e6c75,3970d83e-ef05-463e-8b3f-f7e9425be048,Milestone 4,According system its.,5930.01,2025-12-23 09:38:13,,0,fa690db4-a28a-49e0-a713-98df8fc8d377
79102c33-5842-4ef6-a6f7-88cf8b75a5e5,3970d83e-ef05-463e-8b3f-f7e9425be048,Milestone 5,Traditional home your bring woman hit.,5930.01,2026-01-22 09:38:13,,0,e648d7ba-7cd5-4070-849c-46cd394f3154
dbe84069-8cb6-4b08-b348-b0bbb6112ef0,9d68d839-a9bd-4cc0-8f7b-c0924f2603f6,Milestone 1,Avoid property sport friend wide.,10796.49,2025-07-21 13:14:05,,0,d8a17289-0ead-4dd4-93d4-b640be6ca74e
31ea4a57-f1df-4715-9bc5-f933b80dccbb,9d68d839-a9bd-4cc0-8f7b-c0924f2603f6,Milestone 2,Answer at month.,10796.49,2025-08-20 13:14:05,,0,9046ae7f-dba0-4797-a3b0-1b91afc88250
41de0433-7c51-486e-80d1-8a8ce1ea9522,9d68d839-a9bd-4cc0-8f7b-c0924f2603f6,Milestone 3,Possible bag picture available scene approach imagine concern.,10796.49,2025-09-19 13:14:05,,0,a4c8b51a-d69e-4a27-8511-73d4e12e3bb9
c80f0919-6d41-4334-8cb3-1937bd880ce7,9d68d839-a9bd-4cc0-8f7b-c0924f2603f6,Milestone 4,Miss the we politics phone anyone happy point.,10796.49,2025-10-19 13:14:05,,0,83cd47ca-d930-4f3d-8960-319409f0e1e5
48a18bf0-860f-4ab9-a493-ee927012025b,9d68d839-a9bd-4cc0-8f7b-c0924f2603f6,Milestone 5,Admit manager kind example class.,10796.49,2025-11-18 13:14:05,,0,6bede29e-c6fa-4887-84e7-a91ce2ab879f
8153ab8b-4ed9-4312-aa3c-06d690777ea5,5b201d25-7751-4576-a056-87dff93a9a24,Milestone 1,Those rise several in candidate case affect.,2996.63,2025-12-12 08:48:32,,0,dad19f5f-b18b-40d4-9dac-21add736f280
8ef35e10-297e-4e1a-96dd-035e2e4891c3,5b201d25-7751-4576-a056-87dff93a9a24,Milestone 2,Second man personal listen.,2996.63,2026-01-11 08:48:32,,0,fdbf4fb5-a8bf-4ef9-8c03-ee56cd087978
8a5a78b5-f052-4e9d-9ff9-8d7a0da8c19a,5b201d25-7751-4576-a056-87dff93a9a24,Milestone 3,Type word not usually at sing.,2996.63,2026-02-10 08:48:32,,0,38245daf-5f54-4d1c-8845-9e78c5ae6df3
be041e69-8533-4f5c-a44f-58c5706d85a4,47b88d70-f421-4405-a822-d3a1d7ca8b3f,Milestone 1,However model move.,5429.5,2026-01-17 08:51:05,,0,85135487-0579-495f-a0b4-77378c5a4642
bb395557-7ba3-47a5-a0ca-27a2357e24bc,47b88d70-f421-4405-a822-d3a1d7ca8b3f,Milestone 2,Wife cup law become.,5429.5,2026-02-16 08:51:05,,0,f64f5027-7f7d-4082-9506-66659e0a21ba
8f83761f-2fcf-4930-9191-8db6cee603f0,47b88d70-f421-4405-a822-d3a1d7ca8b3f,Milestone 3,West fire resource commercial.,5429.5,2026-03-18 08:51:05,,0,a10954a5-a46b-4c53-92b7-0a08552883cb
c1827781-7bc2-4681-a148-35a40e92b79c,35afd502-e25f-48ed-adc4-4501d18c3e5e,Milestone 1,Trouble husband level until less daughter.,36055.6,2025-11-13 10:47:20,,0,89c20f82-8eb7-4c2e-aa0e-0dbdaca8a180
29ba2e5e-e8a4-481e-831f-ae4807ee2ea6,35afd502-e25f-48ed-adc4-4501d18c3e5e,Milestone 2,Question bad clear here.,36055.6,2025-12-13 10:47:20,,0,9cf14308-51d6-44cd-b0be-4c9b22d2e35b
37b2ac00-4522-4ffd-9a4f-a322016e9ecf,35afd502-e25f-48ed-adc4-4501d18c3e5e,Milestone 3,Seek draw message prove car.,36055.6,2026-01-12 10:47:20,,0,20e19269-5812-40e7-aa5d-79bc3bee4901
fe06be4e-5ff0-4e97-b719-86e6faacbba3,f573d86d-729f-442c-8c2a-8170cf24cb09,Milestone 1,National with heavy couple language through nation.,9748.59,2025-12-01 00:32:24,,0,16036bc3-d5b1-4bff-840f-c6af71755805
bbe2d2d4-b722-42e4-b826-6f041497f094,f573d86d-729f-442c-8c2a-8170cf24cb09,Milestone 2,Enough any which ten follow.,9748.59,2025-12-31 00:32:24,,0,db04a691-bbc5-469b-aefc-c896e6599523
8a97f2ce-0f22-4833-a1c4-5627c2b04690,f573d86d-729f-442c-8c2a-8170cf24cb09,Milestone 3,Ten family amount stage.,9748.59,2026-01-30 00:32:24,,0,83aff0e5-3a13-411d-8a90-65d5827d1c87
e973f2df-d1a1-4ed0-8bf5-df5124f9f185,e56ca206-a912-4732-afc4-0b4a7ef6c742,Milestone 1,Every yet door daughter economic big.,4408.91,2025-11-18 01:47:57,,0,da52be49-9531-4f4c-9ce1-efcf5708d804
51b284f3-b1fe-4d5a-bc14-6a30b42d873f,e56ca206-a912-4732-afc4-0b4a7ef6c742,Milestone 2,Move until toward scientist matter message trip.,4408.91,2025-12-18 01:47:57,,0,001dbfb3-40c3-4f0a-91ae-7a722ea7f46b
08bcc6d0-291d-4b70-b737-8569fbd0a554,e56ca206-a912-4732-afc4-0b4a7ef6c742,Milestone 3,Add claim begin man.,4408.91,2026-01-17 01:47:57,,0,b3e59607-e26c-4e02-80ed-064cfc21198a
2b5be629-b6b2-4857-9f23-62fef8331e79,73d568b5-014c-462b-acfb-e09b1fe84868,Milestone 1,Movie consumer pick end us information occur future.,5889.81,2025-11-24 03:44:00,,0,3676d774-7eb1-4d19-8c00-b163bcbb7a81
928409a5-e001-4fea-882b-96f6362f1213,73d568b5-014c-462b-acfb-e09b1fe84868,Milestone 2,Six rather just serious term discuss state.,5889.81,2025-12-24 03:44:00,,0,a8cb5656-2f55-46d1-83db-8df2dd0c2166
9c38df3f-a7c5-4163-a669-73c864c4d6d1,73d568b5-014c-462b-acfb-e09b1fe84868,Milestone 3,Theory summer concern race five.,5889.81,2026-01-23 03:44:00,,0,d9ccf229-c8b9-4253-883d-741678a9fb43
91690a58-c4fe-42d3-a15c-761ef6753a77,73d568b5-014c-462b-acfb-e09b1fe84868,Milestone 4,Full occur last.,5889.81,2026-02-22 03:44:00,,0,7730287f-1279-47fd-b526-f1ff45a7e422
76db96ba-3984-4878-a362-c9be3514699e,77576a5b-d566-4aaa-9fdb-eb5efef6ffaf,Milestone 1,Manage reflect name.,7924.06,2026-02-18 15:03:52,,0,78dbd3eb-ecd5-47fa-8483-341d69979443
f88e9e0d-2540-436b-afe9-de1fc8ef9da7,77576a5b-d566-4aaa-9fdb-eb5efef6ffaf,Milestone 2,Idea until budget long article team.,7924.06,2026-03-20 15:03:52,,0,69c3233d-957c-4bfb-aa2e-225b5272a674
c53eabab-2aff-46be-9871-1cfdfb572ab1,77576a5b-d566-4aaa-9fdb-eb5efef6ffaf,Milestone 3,Door if sister chair society half able.,7924.06,2026-04-19 15:03:52,,0,feb9210e-f396-474e-9a2e-2f85523f98a0
e39f8477-742b-49ce-80c4-e912f8365bda,2798b943-59a6-40c2-9a4d-4097780695ae,Milestone 1,Century probably color difference glass purpose beat.,3183.14,2025-06-15 10:30:44,,0,7d8f3be5-a3fc-40ac-9a33-5a749ad03e71
8525f541-9bae-4e13-8527-df25c140d4a6,2798b943-59a6-40c2-9a4d-4097780695ae,Milestone 2,Quickly process address friend writer view.,3183.14,2025-07-15 10:30:44,,0,13ab7454-cf41-4a85-97d2-5e69413afe0f
28203748-6c68-483e-bbb0-f7440bc62519,2798b943-59a6-40c2-9a4d-4097780695ae,Milestone 3,If change authority prepare view.,3183.14,2025-08-14 10:30:44,,0,e5a6699f-c6eb-4b6c-9cd2-dd697ac7a657
d0984f66-5034-43c0-bb68-dbf021c28e05,85011fdf-de72-4b1c-b43a-49c287846a28,Milestone 1,Word catch nothing why.,2654.0,2026-01-16 11:44:25,,0,a3be4295-67c6-41e3-93ac-f9661da3169e
593c1b8c-476d-4020-b505-b89766e67bd9,85011fdf-de72-4b1c-b43a-49c287846a28,Milestone 2,Western newspaper move radio dog perhaps my situation.,2654.0,2026-02-15 11:44:25,,0,546fd357-ccf3-48bc-9f26-d54145c3b529
298ccc19-9f9e-46e3-852a-0c372767a13b,85011fdf-de72-4b1c-b43a-49c287846a28,Milestone 3,Well camera truth.,2654.0,2026-03-17 11:44:25,,0,f31eb352-ba7a-4697-a6f4-0139366072a2
dded0928-567c-460a-92b6-2109349cc12d,85011fdf-de72-4b1c-b43a-49c287846a28,Milestone 4,Sometimes week reality discover success item.,2654.0,2026-04-16 11:44:25,,0,21fce180-5376-4126-97ce-d8132c4e0557
b2dfe815-2d78-43cc-b69e-cbdc90fd0612,85011fdf-de72-4b1c-b43a-49c287846a28,Milestone 5,Respond economy why possible fear paper suffer particular.,2654.0,2026-05-16 11:44:25,,0,240e5c14-9693-4f91-b400-64241898d622
388dbfee-7f80-4628-bffe-3c7eea0a8aa8,e72ffc3c-f22f-4b3c-82fc-d753d735bcbc,Milestone 1,Picture positive exist later nation leader special.,689.91,2025-04-18 07:10:04,,0,12b5d8fd-7f51-4a22-b530-3a2a83cdb4fb
440f8560-59e8-4593-908e-ec5928e9a54c,e72ffc3c-f22f-4b3c-82fc-d753d735bcbc,Milestone 2,Receive kid ground.,689.91,2025-05-18 07:10:04,,0,927e7db5-e46c-4237-8acf-5e8a826bbe77
aee2a466-31ec-4cdc-b8c8-b6480f1fe0e5,e72ffc3c-f22f-4b3c-82fc-d753d735bcbc,Milestone 3,Dog name language local.,689.91,2025-06-17 07:10:04,,0,972df6d7-712b-40e3-92d8-dd1774f6fd7a
3e31b055-5956-411b-9361-a7c550f4d63b,e72ffc3c-f22f-4b3c-82fc-d753d735bcbc,Milestone 4,Shoulder prevent ago past ever sister white.,689.91,2025-07-17 07:10:04,,0,0330ce85-aa96-4a64-bed1-a6f465f127b1
