project_id,creator_id,escrow_address,title,description,funding_goal,current_funding,deadline,created_at,status
caecf732-0637-4753-a639-d380bcccf467,f753381c-7df2-41ed-8710-722386dd011f,0x0e1aabed11a7cce53e512f70f80d88e4253bfb04,Fully-configurable non-volatile product,"See indeed black police group learn professor. Coach Congress husband front.
Your kitchen good firm yard foot he. Step food drive nation heart nearly.",36196.37,85127.26999999999,2025-03-18 18:02:01,2025-02-15 18:02:01,2
08a8a19c-9476-4b4b-a303-ace1d30c5822,c8217145-ca5b-429d-b3f3-a13b0491b405,0x850b98999b42e663c7eaf104e1c462f6d91715d3,Reactive multimedia open architecture,Choice also green catch happen old do. Begin hundred truth safe rich. Common stay ready office traditional organization feel.,19182.16,34143.54,2025-10-10 14:40:43,2025-08-27 14:40:43,2
3970d83e-ef05-463e-8b3f-f7e9425be048,22fab76e-502d-40d0-8367-8c11e0cc0be8,0x4830a45d43384ae83a2f09cb9bc6e82c64df057d,Quality-focused non-volatile collaboration,Recently check purpose young wife send offer. Develop face hour car. Live seat nature energy.,42095.18,29650.07,2025-08-25 09:38:13,2025-06-24 09:38:13,3
9d68d839-a9bd-4cc0-8f7b-c0924f2603f6,19cdcc23-e326-4705-801d-91c362c3ecb2,0x3ccc3b7ea240314e976b2f3654c515d29c0bd79d,Assimilated zero administration function,"Pattern wrong kind certainly and stand. Rate choose rock beat science.
Unit than star add really born late age. Science deep national seek nature.",101015.56,53982.46,2025-06-21 13:14:05,2025-04-15 13:14:05,3
5b201d25-7751-4576-a056-87dff93a9a24,ba47b8b4-eb4d-4092-9960-b6558f1792ea,0x5eb9e9116d6a2c291c7b10a7981869065769700e,Intuitive mobile policy,"Cost may leader unit. Always two figure. Hotel church get goal personal door within.
Speech personal these three spring. Want we difficult. Today prevent because him whether partner.",17428.23,8989.89,2025-11-12 08:48:32,2025-09-04 08:48:32,3
47b88d70-f421-4405-a822-d3a1d7ca8b3f,9b787e46-b4c4-4563-8117-b972c339f284,0x8fc787294f359a368b2ac913add1e3c80c451a88,Assimilated well-modulated functionalities,Field seat start PM scene charge. Blood continue several partner environment. Partner others discuss ago bag sister care.,17428.52,16288.489999999998,2025-12-18 08:51:05,2025-11-09 08:51:05,1
35afd502-e25f-48ed-adc4-4501d18c3e5e,b005b99d-ce79-4654-8297-741b9e8667e9,0x72262f92f844c4cdd7a0c8cd294b282128dd1f51,Seamless value-added orchestration,Modern then skin minute later still amount. Million how same newspaper might. While couple keep this similar experience coach family. Ready tough less.,106853.37,108166.79000000001,2025-10-14 10:47:20,2025-09-08 10:47:20,2
f573d86d-729f-442c-8c2a-8170cf24cb09,8019ac6d-18d2-43f9-b065-ea0accb3442c,0x1f3f6c9c450389988ec59290103807e074f5c286,Multi-lateral attitude-oriented moderator,"Partner civil nearly analysis color friend the. Class certain shoulder anything. Finally shoulder land phone brother.
About she activity marriage material. Part management describe.",47450.14,29245.77,2025-11-01 00:32:24,2025-09-03 00:32:24,3
e56ca206-a912-4732-afc4-0b4a7ef6c742,337bcc40-715b-407e-9a48-321bb78a2f3e,0x69416c534e824334f1627aaa348d73192c709f32,Total radical orchestration,"Whom see growth along. Follow today star serve successful. Fall care reason ever.
Modern receive partner body role pick. Low read value worry. Interview summer employee offer perhaps.",13773.83,13226.720000000001,2025-10-19 01:47:57,2025-07-28 01:47:57,3
73d568b5-014c-462b-acfb-e09b1fe84868,32b58d9d-7378-4faa-8f99-37b1aaf6059c,0xd435aa1f4642f9b7bae2e785639425659f4c2be5,Seamless intangible installation,"Glass south defense political real effort.
Feel nearly short box four. Right pattern ahead compare form full.",37894.45,23559.239999999998,2025-10-25 03:44:00,2025-09-15 03:44:00,3
77576a5b-d566-4aaa-9fdb-eb5efef6ffaf,7815691c-470f-4e46-9eb7-1f2db87b47af,0x07b3239a2d89ad4f06fe3402f7483cb85ad183f5,Cloned coherent focus group,"Worker phone success number hope organization.
Report even beautiful theory he stop. Democratic few born size sing.",13857.51,23772.19,2026-01-19 15:03:52,2025-11-12 15:03:52,2
2798b943-59a6-40c2-9a4d-4097780695ae,7f6e2cc9-b4d9-4f2b-b6c5-c47c341e731b,0x6cbb156cd8ba4e126fbabf289b83fea7fb85b833,Persevering human-resource structure,"About usually reach organization. Four threat billion she. Against serve police decide customer.
Mother significant provide evening church. Address performance method deal.",13825.5,9549.42,2025-05-16 10:30:44,2025-02-20 10:30:44,3
85011fdf-de72-4b1c-b43a-49c287846a28,3818205c-48aa-4a25-abd3-aaedac889e4f,0x7aaae9e97ae91c0146e4b08cdb36248ee4078f3c,Organized reciprocal help-desk,Stage require provide move wind sense. Nothing behavior sort recognize best financial popular.,28056.13,13269.98,2025-12-17 11:44:25,2025-10-23 11:44:25,1
e72ffc3c-f22f-4b3c-82fc-d753d735bcbc,d36bd1f7-c827-46b1-b54b-32a11b4f84b3,0x5f66a392d4211b1214bdeb8ac1d93449a72ca7d4,Streamlined asynchronous utilization,"Leave opportunity draw during city lot at. Sport opportunity six itself skin.
Community prove school Republican student. Option leg never state. Final image our rate.",3251.01,2759.66,2025-03-19 07:10:04,2025-01-13 07:10:04,3
e1da8609-0c40-44a6-b151-b60ed6ac60c6,dad8a2f4-ff3a-44e8-be60-921fb7b262a4,0xcc4bc8b9d7955c6bb31f253688f4f0044ae808b7,Profound impactful capacity,"Hard nature apply reflect. Body executive all it opportunity personal.
High nation production little could his. Style child young prove care author. Century those price.",3924.85,5592.33,2025-08-26 01:26:20,2025-07-17 01:26:20,2
8dd30019-a0b4-4291-a058-89adec540aaa,9c9dea8e-8c4f-40ff-8f37-2834cc75853f,0x5c1184bd24785dc7519502518ced42a8883d3120,Upgradable disintermediate structure,"Improve national happen within nothing. Both loss real center rule worker. Let back three because line.
Something fine apply gas sing light mention. Off former good within far cold reason.",12552.97,17847.93,2025-01-10 15:16:57,2024-12-05 15:16:57,2
ca3f6c2f-e673-48ce-8575-fe5e624bcc83,ba47b8b4-eb4d-4092-9960-b6558f1792ea,0x7a88063061562831f011752a0b3048437d5ce101,Reverse-engineered user-facing collaboration,"Space end red machine son television. Worker whose other start study sell. Side draw key point decision same.
Politics sense break. Less live live way. Do raise hope enjoy most itself eye.",7999.78,3429.3199999999997,2025-09-02 06:03:16,2025-07-25 06:03:16,3
88655aae-2f1b-48ba-aa4c-4f8e1c83ed19,337bcc40-715b-407e-9a48-321bb78a2f3e,0x79287b6e006229a2a9159eabed32f0e84f8cc813,Advanced systematic access,"In moment rate. Detail exist cover agency begin voice.
Point remain build task candidate prevent tonight not. To receive education level.",30159.26,36695.24,2025-03-23 14:58:29,2025-02-10 14:58:29,2
91d21704-7e3a-4270-8863-1257a9436e12,b8bc32d6-d902-4877-aea0-364950e4960e,0x7ec803511e0a2b6a4f6bac6cbfd4f2f7bbc14afc,Fundamental context-sensitive intranet,Woman customer hotel population board music issue. Poor tree resource billion authority number economy knowledge.,8883.72,16640.140000000003,2025-04-25 00:59:17,2025-03-13 00:59:17,2
407d5478-1c3d-4d59-ad69-76a9f7ab2576,d36bd1f7-c827-46b1-b54b-32a11b4f84b3,0x83ac254db545f141e47d413770bedd1f91cb14f7,Polarized bottom-line open system,Four field area young positive half. Ball least short possible computer always. Produce federal hope blood read main.,5365.24,2523.36,2025-10-03 10:24:39,2025-08-27 10:24:39,3
a77b3501-7e9a-44a6-b326-7179c8ed84b1,1b52ac8a-0720-4962-a2fc-84a5a03ba701,0xbe0cc69b51d3e833a0163edb0f568658723b508e,Ameliorated methodical process improvement,"Red candidate common anyone film.
Particularly structure ask stage box organization past. Source international specific word.",95382.34,55846.6,2025-03-17 17:44:55,2025-01-26 17:44:55,3
72394f2a-fd52-47ce-9475-f73ca02d0738,9c9dea8e-8c4f-40ff-8f37-2834cc75853f,0xfd3d99919c9b19ed5545b0dcd85677d07709fbc7,Balanced client-driven attitude,Heavy citizen they ball account unit religious order. Indicate southern significant realize deal. Mission include visit particular also. Response partner because step.,17574.84,11855.03,2025-05-07 08:57:44,2025-03-07 08:57:44,3
d8c8230a-12e8-4bb1-8e19-3dd0730e5bf2,8019ac6d-18d2-43f9-b065-ea0accb3442c,0xa5ab7ab737fe63defafe95826ca8dffa845d5b1e,Phased modular conglomeration,"Approach hair decide. Free source serve analysis science.
Citizen ahead method audience. Return or for cup quality. Discover body direction down include customer.",23565.24,29662.49,2026-01-10 10:38:43,2025-10-26 10:38:43,2
6e112f54-95ae-4e10-a82c-b31540586715,19cdcc23-e326-4705-801d-91c362c3ecb2,0xb9c088eaca0712fed608235c80dabd5ce58e4c86,Grass-roots client-driven budgetary management,Industry set detail far church some well. Official need discover in. Majority yet option student evidence role save.,5298.89,6272.679999999999,2025-10-14 13:53:59,2025-08-28 13:53:59,2
cefbd8fc-e517-41af-b494-c1cb3aa7565a,237e2d37-0c2a-4cf0-ab66-6497c0b01ad3,0x8387dd31c5b997eb94bada0e195a8215fea77580,Total bandwidth-monitored knowledge user,Bar send really image design. Fast positive before look fight reflect. Section agency lawyer sign them if smile.,12779.75,27374.44,2025-06-20 21:21:36,2025-05-04 21:21:36,2
b95d766b-0a5b-47d6-bd56-8ba500110edc,7815691c-470f-4e46-9eb7-1f2db87b47af,0x787f2cf04cd1cbd7260930ee9ee3a857c7732614,Multi-lateral context-sensitive project,"Night similar catch friend. Box long voice oil where decide seat. Fly today me institution approach.
Laugh may stop like mother stay. Later happy pull really within. Could this beautiful hospital.",24610.36,16494.91,2025-10-28 04:46:19,2025-07-31 04:46:19,3
92ad9815-bd20-4eb1-b7f9-e1271f869c96,9f3a66ea-390c-4fd6-9520-46f9c847fc37,0x711b6e6db0ded004c0aa5baf15376748d3fac396,De-engineered methodical hardware,Scene again country against soon strong. Popular in garden position for order recent. Knowledge fight car smile commercial employee machine.,6967.46,13169.2,2025-10-30 18:29:25,2025-08-24 18:29:25,2
a0a98438-7f3f-42b6-9ff1-a9eb146237a8,93fa61d7-5b0f-42c0-a78d-40bdd49b176b,0x2c1891757c93e4703c6869cdb1d41fb96b486517,Intuitive object-oriented capacity,Hard day religious program within. Health music class feeling. Identify material certainly.,32070.7,51271.36,2025-05-19 03:28:06,2025-03-05 03:28:06,2
6bd73261-aacc-4135-9e38-c5fe0c31315b,22fab76e-502d-40d0-8367-8c11e0cc0be8,0xc8d43eebb4116006baa01aac60440343e78d70b0,Face-to-face local help-desk,"Area political on develop very everyone. Base support quality.
Hour make owner memory argue project huge. Hard health expect goal within them.",12080.66,16568.82,2025-02-20 09:08:30,2024-12-12 09:08:30,2
